,date,google trend,tweet_volume,tweet_len
0,2021-03-15,4,102,24.980392156862745
1,2021-03-16,2,120,27.925
2,2021-03-17,57,23461,24.714888538425473
3,2021-03-18,100,9340,24.483083511777302
4,2021-03-19,69,4865,25.08859198355601
5,2021-03-20,54,2721,24.177875780962882
6,2021-03-21,56,2116,23.235822306238184
7,2021-03-22,35,2028,25.691814595660748
8,2021-03-23,34,1498,27.28170894526035
9,2021-03-24,25,1238,26.580775444264944
10,2021-03-25,24,1115,28.29237668161435
11,2021-03-26,34,3258,34.47391037446286
12,2021-03-27,33,1747,25.25930165998855
13,2021-03-28,22,1135,24.8704845814978
14,2021-03-29,17,797,26.456712672521956
15,2021-03-30,41,10561,23.5148186724742
16,2021-03-31,31,1363,26.070432868672047
17,2021-04-01,17,916,24.721615720524017
18,2021-04-02,16,665,25.873684210526317
19,2021-04-03,14,624,23.03044871794872
20,2021-04-04,15,563,22.71758436944938
21,2021-04-05,13,650,23.724615384615383
22,2021-04-06,16,602,24.40199335548173
23,2021-04-07,15,480,24.264583333333334
24,2021-04-08,12,394,26.97969543147208
25,2021-04-09,8,356,26.991573033707866
26,2021-04-10,6,379,23.981530343007915
27,2021-04-11,10,662,24.731117824773413
28,2021-04-12,10,413,27.426150121065376
29,2021-04-13,6,375,26.6
30,2021-04-14,7,459,28.26143790849673
31,2021-04-15,10,389,25.426735218509
32,2021-04-16,16,315,24.615873015873017
33,2021-04-17,8,257,25.023346303501945
34,2021-04-18,9,394,26.086294416243653
35,2021-04-19,3,251,26.199203187250998
36,2021-04-20,7,271,23.715867158671585
37,2021-04-21,11,277,27.736462093862816
38,2021-04-22,16,409,26.286063569682153
39,2021-04-23,11,287,26.72473867595819
40,2021-04-24,7,196,26.775510204081634
41,2021-04-25,7,232,24.064655172413794
42,2021-04-26,5,208,27.4375
43,2021-04-27,9,192,28.411458333333332
44,2021-04-28,3,165,25.636363636363637
45,2021-04-29,12,221,23.751131221719458
46,2021-04-30,4,183,29.688524590163933
47,2021-05-01,4,265,29.59245283018868
48,2021-05-02,4,212,25.53301886792453
49,2021-05-03,1,291,26.786941580756015
50,2021-05-04,5,331,27.3595166163142
51,2021-05-05,13,393,25.521628498727736
52,2021-05-06,11,327,26.660550458715598
53,2021-05-07,6,283,27.420494699646643
54,2021-05-08,2,173,25.54335260115607
55,2021-05-09,8,120,24.175
56,2021-05-10,3,258,29.031007751937985
57,2021-05-11,7,299,27.40468227424749
58,2021-05-12,3,207,26.830917874396135
59,2021-05-13,8,255,25.909803921568628
60,2021-05-14,6,285,24.028070175438597
61,2021-05-15,5,171,24.087719298245613
62,2021-05-16,1,312,22.17628205128205
63,2021-05-17,5,177,25.89265536723164
64,2021-05-18,8,374,31.08288770053476
65,2021-05-19,7,327,30.678899082568808
66,2021-05-20,13,341,29.005865102639298
67,2021-05-21,7,252,26.567460317460316
68,2021-05-22,5,132,26.424242424242426
69,2021-05-23,2,105,22.504761904761907
70,2021-05-24,4,159,25.628930817610062
71,2021-05-25,7,205,25.795121951219514
72,2021-05-26,1,169,27.893491124260354
73,2021-05-27,3,217,28.63594470046083
